61,136.773788,10.841940,187.046325,0.000345,0.000158,-0.000783,1316.241088,1293.436157
62,118.435539,10.713907,179.470169,-0.000023,0.000004,0.000049,1336.381225,1313.279174
63,72.657722,10.594114,160.034790,0.000001,0.000005,-0.000005,1386.230468,1363.012207
64,-120.004287,10.608929,78.129066,0.000002,-0.000003,-0.000000,1595.695922,1572.361694
65,-202.606094,10.560361,42.988407,-0.000018,0.000002,0.000013,1685.540161,1662.127685
66,-265.522949,10.479634,12.630064,0.000372,-0.000015,-0.000669,1755.572875,1732.055541
67,-273.469421,10.448257,7.437612,0.000497,0.000021,-0.000786,1765.154052,1741.548095
68,-301.325286,10.437835,-17.513664,0.001176,0.000029,-0.001011,1805.168579,1779.056030
69,-315.677185,10.536150,-40.280399,0.001493,-0.000027,-0.000693,1834.719116,1806.035034
70,-324.629516,10.566777,-75.271484,0.001779,-0.000003,-0.000128,1874.965820,1842.345703
71,-320.156158,10.561038,-109.928184,0.001854,0.000015,0.000604,1914.785766,1877.495605
72,-308.413024,10.530862,-132.489059,0.001766,-0.000106,0.001305,1944.703002,1903.023559
73,-296.936370,10.355889,-144.924758,0.001174,-0.000026,0.001389,1964.547485,1919.968261
74,-267.274688,9.864319,-163.340301,0.000475,0.000024,0.001197,2004.175292,1955.027099
75,-258.337707,9.767128,-166.784393,0.000356,0.000271,0.001050,2014.847290,1964.605224
76,-231.286346,10.004596,-173.743545,0.000112,-0.000070,0.000726,2044.164916,1992.564208
77,-181.612228,10.272881,-178.341842,-0.000004,0.000005,0.000285,2094.289550,2042.497802
78,-161.719772,10.321677,-178.634536,0.000003,-0.000005,0.000064,2114.231933,2062.392578
79,-151.769119,10.346537,-178.680664,-0.000001,0.000028,0.000058,2124.233886,2072.343261
